series,season,episode,episode_code,attempt_number,score,explanation,why_not_lower,why_not_higher
GA,01,02,GAS01E02,2,-1,"The episode contains some racial diversity (e.g., Asian characters such as Mrs. Lu and the Korean intern), and there are moments where race or immigration status is relevant (e.g., Mrs. Lu's fear of deportation due to her lack of a green card). However, these elements are treated superficially and not integrated into the core narrative. The episode actively overlooks or downplays racial issues that are plausibly relevant: Mrs. Lu's situation is handled as an individual problem, with no discussion of the broader systemic issues facing undocumented immigrants or racialized patients in healthcare. The Korean intern explicitly states she cannot help translate because she only knows 'Chinese from a Mr. Chow's menu,' but this is played for a quick joke and not explored further. The episode does not acknowledge or critique systemic racial disparities or bias; instead, it reframes racial tensions as interpersonal or circumstantial, and the narrative does not encourage reflection on race or racism. These patterns align with the '-1' criteria: minimization, evasion, or omission of racial issues.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes (-3). There is no narrative acceptance or indifference toward racial bias as an ordinary part of the world, nor are racially discriminatory ideas presented as positive or unchallenged. The episode does not reinforce racial hierarchies or validate discrimination; rather, it simply fails to engage meaningfully with race when it arises.","The episode does not recognize or explicitly foreground racial dynamics with critique (+1). While race and immigration status appear, the narrative does not actively address, problematize, or encourage viewers to reflect on these issues. There is no explicit critique of racism, no articulation of marginalized experiences, and no attempt to challenge stereotypes or simplistic representations."
GA,01,02,GAS01E02,3,-1,"The episode contains minimal engagement with race or racism. The only notable moment is when a Chinese-speaking patient (Ms. Lu) is unable to communicate with the doctors, and one intern assumes another Asian intern (Cristina) can translate, only for Cristina to clarify that she is Korean and does not speak Chinese. Later, it is revealed that Ms. Lu is undocumented, and the intern helps her outside the hospital to avoid legal trouble. However, these moments are treated as incidental obstacles to medical care rather than opportunities to explore or critique racial or systemic issues. The narrative does not acknowledge the broader context of language barriers, immigration status, or racial dynamics in healthcare, nor does it offer any explicit or implicit critique of these issues. Instead, the episode reframes these as individual or interpersonal challenges, focusing on the interns' experiences and emotional growth. There is no overt racism, but the episode consistently evades or minimizes the racial and systemic dimensions of the situations presented.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes (-3). There are no scenes where racial stereotypes are presented as acceptable, nor is there a narrative tone of indifference or acceptance toward racial bias. The moments involving Ms. Lu are not framed as ordinary or unproblematic, but as exceptional and challenging for the interns. There is also no reinforcement or validation of racial hierarchies.","The episode does not recognize or explicitly foreground racial dynamics with critique (+1). While there are moments where race and immigration status are relevant, the narrative does not actively engage with or critique these issues. There is no discussion of bias, no challenge to stereotypes, and no encouragement for the audience to reflect on racial or systemic inequities. The focus remains on the interns' personal and professional struggles, not on the racialized experiences of the patients."
GA,01,02,GAS01E02,4,-1,"The episode contains a few moments where race and ethnicity are present, but these are largely minimized or treated superficially. The most notable example is the subplot involving Ms. Lu, a Chinese-speaking patient who is unable to communicate with the doctors due to a language barrier. The episode briefly acknowledges her undocumented status and fear of deportation, but this is handled as an individual problem to be solved by the protagonist's personal compassion, not as a systemic issue. The narrative does not explore the broader context of immigrant experiences, systemic barriers, or racialized healthcare disparities. Additionally, the episode features a diverse cast, but racial identity is not meaningfully thematized or connected to the main narrative arcs. The only other reference to ethnicity is a joke about being Korean and not Chinese, which is played for humor and not further explored. Overall, the episode tends to reframe or sidestep racial and immigration issues as interpersonal or incidental, rather than engaging with them critically or structurally.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes (-3). While it minimizes and evades the racial and immigration issues present, it does not present them as ordinary or unproblematic, nor does it validate prejudice. The narrative does not reward or validate discriminatory behavior, and there are no overtly racist portrayals or reinforcement of racial hierarchies.","The episode does not explicitly recognize or foreground racial dynamics with critique (+1). There is no narrative voice or character who articulates the systemic nature of the challenges faced by Ms. Lu or other marginalized groups. The episode does not encourage viewers to reflect on racial issues or offer any critique of racism; instead, it treats the situation as a one-off, resolved through individual action rather than social awareness or critique."
GA,01,02,GAS01E02,5,-1,"The episode contains a single subplot involving Mrs. Lu, a Chinese patient who does not speak English and is later revealed to be undocumented. The narrative briefly addresses her fear of deportation and her lack of access to care, but this is treated as an individual issue rather than a systemic one. The intern (Izzie) helps her outside the hospital, but the episode does not meaningfully engage with the broader racial or immigration dynamics at play. The rest of the episode is largely race-neutral, with no explicit references to race, racism, or racial dynamics among the main cast or in the dominant narrative. The Mrs. Lu subplot is minimized, reframed as a personal dilemma, and quickly resolved without any acknowledgment of systemic barriers or critique of the healthcare system's treatment of undocumented immigrants. This aligns with '-1' on the scale: minimization, evasion, or omission of racial issues, where racial elements that would plausibly be relevant are downplayed or reframed as interpersonal rather than structural.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes (-3). Mrs. Lu is treated with compassion by the intern, and her undocumented status is not presented as ordinary or unproblematic; rather, it is a source of tension, albeit not deeply explored. There is no narrative acceptance or positive framing of discrimination.","The episode does not recognize or explicitly foreground racial dynamics with critique (+1). The issue of Mrs. Lu's undocumented status and language barrier is not discussed in terms of systemic racism or bias, nor does the narrative encourage reflection on racial issues. The episode avoids any broader discussion or critique, keeping the racial dimension superficial and isolated."
GA,01,02,GAS01E02,6,-1,"The episode contains a few moments that touch on race and ethnicity, most notably the subplot involving Mrs. Lu, a Chinese-speaking patient who is later revealed to be undocumented. The narrative briefly acknowledges her language barrier and immigration status, but these elements are treated as obstacles to medical care rather than as opportunities to explore or critique broader racial or systemic issues. The Korean-American doctor, Christina, is asked to translate but points out she is not Chinese, and the script uses this for a quick joke rather than to meaningfully address issues of diversity or representation. When Mrs. Lu's undocumented status is revealed, the intern (Izzie) helps her outside the hospital, but this is framed as an individual act of kindness rather than a critique of the system that puts Mrs. Lu at risk. There is no explicit or implicit critique of racism, nor is there a normalization or endorsement of racial inequality; instead, the episode largely evades or minimizes the racial dimensions of the situations it presents. The presence of characters of color is not thematized in relation to race, and the episode does not engage with systemic issues or offer critical reflection on racial dynamics. This aligns with the '-1' score: minimization, evasion, or omission of racial issues.","The episode does not normalize racial inequality or present discriminatory language or attitudes without critique ('-2'), nor does it endorse discriminatory systems or attitudes ('-3'). While the narrative fails to address the racial dimensions of Mrs. Lu's situation, it does not frame her status or language barrier as acceptable or desirable, nor does it present overtly prejudicial dynamics as ordinary or justified.","The episode does not explicitly recognize or foreground racial dynamics with critique ('+1'). There is no narrative voice or character that addresses issues of racism, bias, or systemic inequality in a reflective or critical way. The episode's handling of race-related content is superficial and avoids deeper engagement, so a higher score is not warranted."
GA,01,02,GAS01E02,7,-1,"Throughout the episode, there are a few moments where race or ethnicity is relevant, but these are largely minimized or reframed as incidental rather than systemic. The most notable example is the storyline involving Mrs. Lu, a Chinese-speaking patient. The episode depicts language barriers and her undocumented status, but these are treated as individual obstacles rather than as manifestations of broader racial or systemic inequities. The Korean-American character, Cristina, is asked to translate for Mrs. Lu but refuses, highlighting a lack of cultural competence among staff, yet this is played for humor and not critically examined. The narrative does not meaningfully address the challenges faced by undocumented immigrants or non-English speakers in healthcare, nor does it explore the racialized dimensions of these experiences. Instead, the episode focuses on the personal initiative of the (white) intern to help Mrs. Lu outside the hospital, framing the issue as one of individual compassion rather than systemic bias. There are no explicit racist attitudes or endorsements, but the episode consistently evades deeper engagement with racial or ethnic issues, minimizing their relevance to the story.","The episode does not normalize racial inequality as ordinary or unproblematic (-2), nor does it endorse discriminatory attitudes (-3). There is no narrative suggestion that racial disparities are natural or justified, and no positive portrayal of racist views. Instead, the episode simply avoids engaging with these issues in any meaningful way.","The episode does not explicitly recognize or foreground racial dynamics with critique (+1). While there are moments where race or immigration status could be discussed critically, the narrative does not encourage reflection on these issues, nor does it give voice or agency to marginalized characters to articulate their experiences. The episode reframes or sidelines racial issues rather than addressing them directly."
GA,01,02,GAS01E02,8,-1,"The episode contains a few moments where race and ethnicity are present, most notably in the subplot involving Mrs. Lu, a Chinese-speaking patient who is revealed to be undocumented. The narrative briefly touches on her immigration status and fear of deportation, but this is treated primarily as a personal or procedural obstacle rather than a systemic issue. The episode does not overtly problematize or critique the broader racial or structural dynamics at play (e.g., the vulnerability of undocumented immigrants in healthcare settings, language barriers, or discrimination). Instead, the situation is resolved through individual action and empathy by the intern, with no further narrative engagement with the racialized context. Additionally, another character assumes that a Korean-American doctor can translate for a Chinese-speaking patient, but this is played for a quick joke and not explored further. Overall, the episode minimizes or evades the deeper racial issues that are plausibly relevant, treating them as background or individual problems rather than engaging with them critically or structurally. This aligns with the '-1' description: minimization, evasion, or omission of racial issues.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes or systems (-3). There are no scenes where racialized dynamics are presented as ordinary or unproblematic, nor are there positive portrayals of racism or reinforcement of racial hierarchies. The moments involving race are not framed as acceptable or desirable; rather, they are simply not explored in depth.","The episode does not reach '0' (ambiguous presence) because the racial elements, while present, are consistently downplayed or reframed as individual matters, not left genuinely unresolved or ambiguous. It also does not reach '+1' because there is no explicit recognition or critique of racial dynamics, no narrative encouragement for the audience to reflect on racism, and no meaningful agency given to marginalized characters regarding their racialized experiences."
GA,01,02,GAS01E02,9,-1,"The episode contains a single subplot with racial relevance: the storyline involving Ms. Lu, a Chinese patient who does not speak English and is undocumented. The narrative briefly touches on her fear of deportation and her lack of access to care due to her immigration status. However, the episode does not meaningfully engage with the racial or systemic aspects of her situation. The intern (Izzie) helps Ms. Lu outside of hospital rules, but this is framed as a personal act of kindness rather than a critique of broader racial or structural inequities. The episode otherwise features a racially diverse cast, but race is not thematized in any other context; the only explicit mention of ethnicity is superficial (the Korean intern clarifying she doesn't speak Chinese). The narrative consistently reframes Ms. Lu's predicament as an individual issue (her undocumented status and fear of jail), and avoids addressing the systemic barriers faced by immigrants or racial minorities in healthcare. There is no explicit critique, challenge, or even meaningful recognition of racial dynamics beyond the immediate plot device.","The episode does not normalize racial inequality (-2) or endorse discriminatory attitudes (-3). Ms. Lu's undocumented status is not presented as ordinary or desirable, and the intern's actions are sympathetic. There is no validation or reward for exclusionary or prejudicial dynamics, nor are racial hierarchies reinforced or legitimized.","The episode does not explicitly foreground or critique racial dynamics (+1). The narrative does not encourage viewers to reflect on racial issues, nor does it give marginalized characters meaningful voice or agency regarding their experiences of racism. The episode's stance is one of minimization and evasion, rather than recognition or critique."
GA,01,02,GAS01E02,10,-1,"The episode contains a subplot involving Mrs. Lu, a Chinese patient who does not speak English and is revealed to be undocumented. The narrative briefly touches on her fear of deportation and her lack of access to care due to her immigration status. However, this racialized dynamic is treated as a side complication rather than a central issue: the episode does not critically engage with the broader systemic challenges faced by undocumented immigrants or racialized minorities in healthcare. The main characters respond with individual empathy (Izzie helps her outside hospital rules), but the episode frames this as a personal act of kindness rather than a critique of the system. Additionally, other references to race or ethnicity (e.g., the Korean doctor refusing to translate for the Chinese patient, the brief mention of Ellis Grey's legendary status) are incidental and not thematized. There is no explicit normalization of racial inequality (-2), nor is there endorsement of discriminatory attitudes (-3). The episode's dominant stance is one of minimization and evasion: racial issues are present and relevant but consistently reframed as interpersonal or logistical, not systemic.","The episode does not normalize racial inequality (-2) because the narrative does not present Mrs. Lu's situation as ordinary or unproblematic; her fear and exclusion are shown as unfortunate, and Izzie's response is empathetic. However, the episode does not offer any critical framing or challenge to the system, so it does not reach +1.","The episode does not reach +1 because, while it briefly acknowledges racial/immigration dynamics, it does not explicitly foreground or critique them. There is no sustained narrative engagement with racism or systemic bias, nor are marginalized characters given significant voice or agency to articulate their experiences. The episode's engagement with race remains superficial and avoids deeper reflection or critique."
NA,02,09,NAS02E09,1,+1,"The episode foregrounds the medical neglect and systemic failures experienced by incarcerated women at Rikers, many of whom are implied to be from marginalized backgrounds. It explicitly critiques the lack of healthcare, punitive practices (withholding pap smears, mammograms), and the indifference of the institution. The narrative gives voice and agency to the women (e.g., Martha Randle, Pearl, Charly), highlights their suffering, and positions the doctors as advocates challenging the system. The audience is encouraged to reflect on the injustice and its impact, and the episode frames these issues as unacceptable. However, while the episode critiques and foregrounds these racialized and class-based injustices, it does not fully center race as the explicit axis of critique, nor does it depict active dismantling of racist structures or offer a transformative vision.","The episode does not evade, minimize, or normalize the issues (as in -1 or -2); it directly addresses the systemic neglect and critiques the institution's failures. The narrative is not ambiguous (0); it clearly positions the neglect as wrong and gives voice to those affected.","The episode does not show sustained, active efforts to dismantle racist systems or promote a broader vision of equity (+2), nor does it offer a transformative or systemic advocacy (+3). The critique is explicit and foregrounded, but the solutions are limited to immediate medical interventions and advocacy, not systemic change."
NA,02,09,NAS02E09,2,+1,"The episode foregrounds the systemic neglect and mistreatment of incarcerated women at Rikers, many of whom are racial minorities (as indicated by names, speech patterns, and context), and explicitly critiques the lack of healthcare and the punitive conditions they face. The narrative centers on medical staff advocating for better treatment, challenging the warden and correctional officers, and highlighting the preventable suffering caused by institutional failures. The episode repeatedly makes clear that the status quo is unjust and that the women do not deserve the harm they experience, regardless of their incarceration. It gives voice and agency to marginalized characters (e.g., Martha, Pearl, Charly) and encourages viewers to reflect on the broader social issues at play, including the intersection of health, punishment, and systemic neglect. However, while the episode is critical and empathetic, its primary focus is on medical advocacy and individual action rather than a sustained, systemic challenge to racial inequality.","The episode does not evade or minimize racial issues (-1); instead, it directly engages with the consequences of systemic neglect in a carceral setting, foregrounding the voices and experiences of marginalized women. The narrative is not ambiguous (0); it clearly positions the neglect as wrong and in need of change.","Although the episode critiques injustice and advocates for better care, it does not actively promote systemic change or offer a transformative vision of racial equity (+2 or +3). The solutions depicted are limited to improved healthcare access and individual advocacy rather than broader structural reform or deep deconstruction of racial hierarchies."
NA,02,09,NAS02E09,3,+1,"The episode centers on medical care for incarcerated women at Rikers, highlighting significant systemic neglect and health disparities. It explicitly foregrounds issues such as withheld medical care as punishment, inadequate resources, and the trauma experienced by inmates. The narrative voice is critical of these conditions: doctors advocate for better care, challenge the warden and COs, and emphasize that 'whatever you're in jail for doesn't mean you deserve to die because you couldn't get a checkup.' The episode also gives voice and agency to marginalized characters (e.g., Martha, Pearl, Charly), allowing them to articulate their experiences and trauma. The audience is encouraged to reflect on the injustice and the need for change, and the episode's stance is clearly critical of the status quo. These elements align with '+1': explicit recognition and critique of racialized and systemic injustice, even if the episode does not fully move into depicting active dismantling or offering transformative solutions.","The episode does not evade, minimize, or normalize the problems at Rikers; instead, it foregrounds them, critiques the system, and makes the racialized and gendered neglect explicit. The narrative is not ambiguous or neutral (0), nor does it simply omit or minimize the issues (-1).","While the episode critiques injustice and advocates for better care, it does not depict sustained efforts to dismantle racist structures or offer a transformative vision of equity ('+2' or '+3'). The intervention is temporary (a one-day clinic), and while the doctors push for improvements, the episode stops short of showing systemic change or advocacy for broader reforms. The focus is on critique and immediate action rather than long-term transformation."
NA,02,09,NAS02E09,4,+1,"The episode centers on medical care for incarcerated women at Rikers, highlighting systemic neglect and barriers to healthcare within the prison system. The narrative repeatedly foregrounds issues of institutional mistreatment, such as withheld pap smears and mammograms as punishment, and the lack of privacy and resources for basic care. Characters explicitly critique these conditions, with lines like 'Whatever you're in jail for doesn't mean you deserve to die because you couldn't get a checkup.' The episode also shows doctors advocating for improved care, challenging the warden and prison staff, and pushing for systemic changes like adding Rikers to the med school rotation. While the episode does not directly address racism as its central theme, the context (Rikers, overrepresentation of marginalized women, references to trauma and systemic neglect) and the critical stance toward institutional injustice align with a '+1' score: recognition and explicit foregrounding of systemic bias and critique of inequity.","The episode does not evade or minimize issues of systemic injustice; it repeatedly foregrounds and critiques the failures of the prison healthcare system. The narrative is not ambiguous or neutral ('0'), nor does it normalize or accept the status quo ('-1' or '-2').","Although the episode advocates for better care and pushes for some reforms, it does not actively depict the dismantling of racist structures or offer a transformative vision of equity ('+2' or '+3'). The focus remains on critique and incremental improvement rather than systemic overhaul or advocacy for broader racial justice."
NA,02,09,NAS02E09,5,+1,"The episode centers on healthcare inequities and systemic neglect within Rikers Island, a New York jail, with a clear focus on female inmates—many of whom are women of color, as implied by names and context. The narrative repeatedly foregrounds the consequences of institutional neglect: Martha Randle nearly dies from toxic shock after her medical needs are ignored, and other inmates suffer preventable illnesses due to withheld care. The doctors explicitly critique these failures, challenge the warden, and advocate for better treatment, including setting up a clinic and pushing for ongoing medical rotations. The episode also highlights the psychological trauma and power dynamics within the prison, including scenes of COs exerting control and inmates discussing how their identities and relationships are shaped by incarceration. While race is not always named directly, the episode makes the systemic nature of the injustice clear, and the narrative stance is critical of the status quo, encouraging viewers to reflect on the broader social impact. This matches '+1': the episode recognizes and foregrounds racialized (and gendered) dynamics with critique, giving voice to marginalized characters and problematizing institutional neglect.","The episode does not evade or minimize the issues (as in '-1'); instead, it repeatedly foregrounds the systemic failures and their impact, with characters directly challenging the normalization of neglect and advocating for change. The narrative is not ambiguous (0), nor does it normalize or endorse inequality (-2, -3).","Although the episode critiques institutional neglect and advocates for better care, it does not show sustained efforts to dismantle racist structures or offer a transformative vision of equity ('+2' or '+3'). The focus is on immediate medical interventions and critique, rather than broader systemic change or advocacy for racial justice beyond the healthcare context."
NA,02,09,NAS02E09,6,+1,"The episode centers on the medical neglect and systemic failures experienced by incarcerated women at Rikers, many of whom are implied to be from marginalized backgrounds. The narrative explicitly foregrounds issues such as inadequate access to healthcare, punitive withholding of medical care, and the trauma inflicted by the prison system. Characters voice critique of these injustices (e.g., 'How many more before someone dies?', 'My patients go in for a month, they come out with a lifetime of trauma'), and the doctors actively challenge the status quo by bringing care directly to the inmates and advocating for systemic improvements (e.g., proposing med student rotations at Rikers). However, while the episode clearly critiques the system and highlights the consequences of inequality, it does not directly address the racialized nature of mass incarceration or explicitly frame these injustices as rooted in racism. The focus remains on healthcare and institutional neglect rather than a broader, explicit anti-racist stance. Thus, it aligns with '+1': recognition and explicit foregrounding of (systemic) injustice with critique, but without a sustained, explicit anti-racist or transformative narrative.","The episode does not evade, minimize, or normalize the injustices faced by the incarcerated women; instead, it foregrounds them and frames them as unacceptable, with multiple characters critiquing the system and advocating for change. The narrative is not ambiguous or neutral (0), nor does it treat these issues as incidental or unproblematic (-1, -2).","While the episode critiques institutional neglect and advocates for improved care, it stops short of explicitly naming or challenging the racialized foundations of mass incarceration or advocating for broader systemic change beyond healthcare. It does not offer a vision of racial equity or directly address racism as a root cause, which would be necessary for a '+2' or '+3'. The focus is on healthcare injustice rather than an explicit anti-racist or transformative agenda."
NA,02,09,NAS02E09,7,+1,"The episode centers on medical care for incarcerated women at Rikers, highlighting systemic neglect and health disparities. It foregrounds issues such as withheld medical care as punishment, trauma from incarceration, and the difficulties faced by women of color in the criminal justice system (e.g., Martha Randle's story). The narrative voice (doctors and staff) consistently critiques these injustices, calling out preventable suffering and advocating for better care. There is explicit recognition of how institutional practices harm marginalized groups, and the episode encourages viewers to reflect on the broader societal impact of these issues. However, while the episode critiques the system and foregrounds racialized dynamics, it does not depict sustained efforts to dismantle racist structures or offer a transformative vision of equity.","The episode does not minimize, evade, or normalize racial issues (-1 or -2); instead, it makes them central to the narrative and offers explicit critique. The narrative clearly signals that the neglect and trauma are unacceptable, and the doctors' actions and dialogue challenge the status quo.","The episode does not actively promote systemic change or offer transformative solutions (+2 or +3). While it advocates for better care and briefly suggests integrating Rikers into medical rotations, it stops short of showing sustained anti-racist action or imagining a radically equitable future. The focus remains on critique and immediate advocacy rather than broader systemic transformation."
NA,02,09,NAS02E09,8,+1,"The episode foregrounds the health crisis and systemic neglect faced by incarcerated women at Rikers, many of whom are racialized and marginalized. It explicitly acknowledges and critiques the lack of basic medical care, punitive practices (withholding pap smears, mammograms, hygiene products), and the trauma inflicted by the institution. The narrative centers the voices and experiences of these women, highlights the injustice of their treatment (e.g., Martha's toxic shock from withheld care, Charly's misdiagnosed symptoms), and positions the doctors as advocates challenging the status quo. The episode also depicts the correctional officers' power dynamics and the impact of institutional control, but does not shy away from showing the consequences for the women. While the episode critiques the system and encourages reflection on racialized incarceration and neglect, it stops short of depicting transformative change or sustained advocacy for systemic overhaul.","The episode does not merely minimize or evade racial issues (-1), nor does it normalize inequality (-2). It actively critiques the system, foregrounds the health disparities, and gives voice to marginalized women, rather than treating these issues as incidental or superficial.","Although the episode challenges inequity and promotes empathy, it does not show the characters working to dismantle racist structures or offer a vision of a more equitable society (+2). The intervention is temporary (a one-day clinic), and while the narrative is critical, it does not advocate for or depict systemic change or transformative solutions (+3)."
NA,02,09,NAS02E09,9,+1,"The episode centers on healthcare disparities and systemic neglect within Rikers Island, a New York jail known for its disproportionately incarcerated Black and brown populations. While the episode does not foreground explicit discussions of racism or racial identity, it repeatedly highlights the institutional failures and neglect that affect incarcerated women, many of whom are implied to be from marginalized backgrounds. The narrative critiques the lack of medical care, punitive practices, and the dehumanizing treatment of inmates, and the protagonists (doctors) actively challenge these injustices. The episode foregrounds systemic issues (e.g., withheld pap smears, mammograms, and basic hygiene) and frames them as unacceptable, with the doctors advocating for better care and pushing back against the warden and regulations. However, the episode stops short of directly naming or deeply interrogating the racialized nature of these injustices, and does not offer transformative solutions or sustained anti-racist advocacy. The stance is one of explicit critique and recognition of systemic neglect, aligning with '+1' on the scale.","The episode does not evade or minimize the issues (as in '-1'); it explicitly foregrounds the systemic neglect and critiques the institutional failures. The narrative is not ambiguous ('0'), as it clearly positions the doctors' advocacy and the inmates' suffering as unjust and in need of change.","The episode does not actively challenge racial inequality at a systemic level ('+2'), nor does it advocate for transformative change or explicitly frame the issues as rooted in racism ('+3'). The critique is focused on healthcare and institutional neglect, not on broader racial justice or anti-racist action."
NA,02,09,NAS02E09,10,+1,"The episode centers on the medical treatment of incarcerated women at Rikers, highlighting systemic neglect and health disparities that disproportionately affect marginalized groups. The narrative repeatedly foregrounds the lack of basic healthcare, punitive practices, and trauma experienced by inmates, and several characters (doctors) explicitly critique these conditions and advocate for improved care. The episode makes clear that the status quo is harmful and unjust, and it gives voice to the experiences of incarcerated women. However, while the episode critiques the system and recognizes the racialized and gendered dynamics at play, it does not fully depict active dismantling of racist structures or offer a transformative vision of equity. The narrative stance is critical and empathetic, encouraging viewers to reflect on injustice, but it stops short of showing systemic change or advocacy beyond the immediate intervention.","The episode does not evade or minimize racial issues (-1); instead, it foregrounds the health disparities and critiques the institutional neglect. The narrative is not ambiguous (0); it clearly positions itself against the injustices depicted. Nor does it normalize or endorse inequality (-2, -3); the doctors challenge the system and advocate for their patients.","The episode does not show sustained or systemic efforts to challenge racial inequality (+2), nor does it offer a transformative or visionary approach to systemic change (+3). The intervention is limited to a one-day clinic and advocacy for med school rotations, rather than depicting broader reforms or deep empowerment of marginalized groups."
GA,05,08,GAS05E08,1,N/A,"After a thorough review of the episode's subtitles, there are no explicit or implicit references to race, ethnicity, or racism. The narrative centers on medical cases, personal relationships, grief, and professional dynamics. While there is some mention of cultural beliefs (e.g., Navajo spiritual practices regarding organ transplantation), these are presented as matters of individual spirituality and medical ethics, not as racial or ethnic discrimination or dynamics. There is no material that can reasonably be interpreted as engaging with race-related issues, nor are any characters' racial identities thematized or made relevant to events or dialogue. The episode might lack diversity, but this absence is not itself thematized or made relevant.",,
GA,05,08,GAS05E08,2,N/A,"The episode does not contain any discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative centers on medical cases, interpersonal relationships, and issues of grief, trauma, and spirituality, including a storyline involving Navajo beliefs about organ transplantation. While this storyline engages with cultural and spiritual difference, it does not thematize race, racial identity, or racism as a social or systemic issue. There are no characters whose racial identities are made relevant to the events or dialogues, and no material that can reasonably be interpreted as engaging with race-related issues. The episode might lack diversity, but this absence is not itself thematized or made relevant.",,
GA,05,08,GAS05E08,3,N/A,"After a thorough review of the episode's subtitles, there are no explicit or implicit references to race, ethnicity, or racism. The episode's primary focus is on medical cases, personal relationships, grief, and professional dynamics. While there is some mention of cultural beliefs (e.g., Navajo spiritual practices regarding the dead), these are presented as religious or spiritual differences, not as racial or ethnic discrimination or bias. No characters' racial identities are made relevant to the narrative, and there is no material that engages with race-related issues. The episode might lack diversity, but this absence is not thematized or made relevant to the story.",,
GA,05,08,GAS05E08,4,N/A,"After a thorough review of the episode's subtitles, there are no explicit or implicit references to race, ethnicity, or racism. The narrative centers on medical cases, interpersonal relationships, and issues of grief, identity, and spirituality (notably with the Navajo patient and his beliefs about organ transplantation), but these are not framed in terms of racial or ethnic discrimination, bias, or systemic inequality. The only moment where racial identity is referenced is Dr. Dixon's question about 'the black one, the male one, the one with yellow hair,' which is a fleeting, contextually ambiguous line about identifying colleagues, not about race-related issues or dynamics. There is no material that can be reasonably interpreted as engaging with race or racism as a theme, nor is there any narrative positioning regarding racial issues.",,
GA,05,08,GAS05E08,5,N/A,"The episode contains no discernible references—explicit or implicit—to race, ethnicity, or racism. The main storylines focus on medical cases, personal relationships, and issues such as grief, professional rivalry, and spirituality (e.g., the Navajo patient's beliefs about organ transplants). While there is some diversity among characters (e.g., Dr. Bailey, Dr. Yang), their racial identities are not thematized or made relevant to any events or dialogues. There are no situations that can be reasonably interpreted as engaging with race-related issues, nor is the absence of diversity itself thematized or made relevant. Thus, the episode fits the 'N/A' category as per the scale's criteria.",,
GA,05,08,GAS05E08,6,N/A,"The episode contains no discernible references—explicit or implicit—to race, ethnicity, or racism as a theme. The only moment that even mentions race is a fleeting, incidental reference to 'the black one' in a list of colleagues by Dr. Dixon, but this is not thematized, explored, or made relevant to any narrative arc, character development, or conflict. The episode's primary storylines revolve around medical cases, personal relationships, grief, and professional dynamics, with no engagement with racial issues, stereotypes, or inequalities. There is no material that can be reasonably interpreted as engaging with race-related issues, nor is there any narrative framing or character dialogue that addresses or even hints at racism or racial dynamics.",,
GA,05,08,GAS05E08,7,N/A,"The episode does not contain any explicit or implicit references to race, ethnicity, or racism. The central medical cases involve a Navajo patient whose beliefs about organ transplantation are foregrounded, but this is presented as a matter of spiritual/religious difference, not racial dynamics. There is no narrative engagement with racial identity, racism, or racial inequality. The episode's conflicts and character arcs revolve around medical ethics, personal relationships, grief, and spirituality, but none of these are framed in terms of race or racism. The only moment that references identity categories is when Dr. Dixon asks about 'the black one, the male one, the one with yellow hair,' but this is presented as a matter of distinguishing colleagues and is not thematized or developed as a racial issue.",,
GA,05,08,GAS05E08,8,N/A,"The episode does not contain any discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative focuses on medical cases, personal relationships, and themes of grief, identity, and spirituality. While there is a Navajo patient whose cultural beliefs are discussed in relation to organ transplantation, these references are spiritual and religious, not racialized or connected to issues of racism, racial inequality, or prejudice. The episode does not thematize race or ethnicity as a source of conflict, bias, or social dynamics, nor does it address or engage with racism in any form.",,"A score of -3, -2, -1, 0, +1, +2, or +3 would require the episode to engage with race or racism in some way—either by endorsing, normalizing, evading, ambiguously presenting, critiquing, challenging, or transforming racial dynamics. Since the topic is entirely absent, 'N/A' is the only appropriate score."
GA,05,08,GAS05E08,9,N/A,"The episode does not contain any explicit or implicit references to race, ethnicity, or racism. The narrative centers around medical cases, interpersonal relationships, and issues of grief, spirituality, and identity, but none of these are framed in terms of racial dynamics. The only moment that could be tangentially related is the Navajo patient's request for his heart for spiritual reasons, but this is treated as a matter of religious/cultural belief rather than racial identity, and the episode does not thematize race or racism in connection with this storyline. No characters' racial identities are made relevant to the plot, and there is no engagement with race-related issues.",,
GA,05,08,GAS05E08,10,N/A,"After a thorough analysis of the episode's subtitles, there are no discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative focuses on medical cases, personal relationships, grief, and professional dynamics. While there is some diversity among characters (e.g., references to Navajo beliefs, mentions of Black and male colleagues in passing), these are not thematized as racial or ethnic issues, nor do they engage with racism or racial dynamics. The Navajo patient's storyline centers on spiritual beliefs regarding organ transplantation and death, but this is treated as a matter of religious/cultural respect rather than a racial issue. There are no instances where race or racism is discussed, critiqued, normalized, or problematized, nor is there any narrative framing that would invite interpretation along these lines.",,
