series,season,episode,episode_code,bool_response,explanation
GA,13,11,GAS13E11,No,
GA,13,12,GAS13E12,No,
GA,13,13,GAS13E13,No,
GA,13,14,GAS13E14,No,
GA,13,15,GAS13E15,No,
GA,13,16,GAS13E16,No,
GA,13,17,GAS13E17,No,
GA,13,18,GAS13E18,No,
GA,13,19,GAS13E19,No,
GA,13,20,GAS13E20,No,
GA,13,21,GAS13E21,No,
GA,13,22,GAS13E22,No,
GA,13,23,GAS13E23,No,
GA,13,24,GAS13E24,No,
GA,14,1,GAS14E01,Yes,"There are implicit references to racial discrimination and systemic inequalities. For example, in the case of Beau Martinez, his parent says, 'They treat him like he's a drug addict or something. That's not my kid.' This suggests that Beau, likely a person of color based on his surname, is being stereotyped and denied adequate pain management, which is a documented form of racial bias in healthcare. Additionally, Megan discusses her adopted son Farouk, a Syrian refugee, and the difficulties in bringing him to the U.S. due to immigration laws, touching on systemic barriers faced by people from certain racial or ethnic backgrounds. These examples indicate that issues of racial prejudice and systemic discrimination are present, even if not discussed explicitly."
GA,14,2,GAS14E02,No,
GA,14,3,GAS14E03,Yes,"There is an explicit reference to race and racial dynamics when Miranda Bailey, a Black woman and the hospital chief, is told by Dr. Webber, 'But you embarrassed that old white man. Now, you need to let me go back in there and fix it my way in my own time.' This line directly references the racial identity of Harper Avery and the implications of a Black woman challenging a powerful white man in a position of authority. The episode also features subtle power dynamics and microaggressions, such as Harper Avery's dismissive language toward women in leadership ('That's the problem when women are in charge. It's always personal.'), which, while primarily sexist, can intersect with racial prejudice given the context. These elements suggest that issues of race and racial prejudice are present in the episode."
GA,14,4,GAS14E04,No,
GA,14,5,GAS14E05,Yes,"There are several implicit references to race and ethnicity throughout the episode. For example, there is a scene where a female patient named Sana refuses to be touched by men, which may suggest cultural or religious differences often associated with Middle Eastern backgrounds. There are also references to 'Iraqi allies' and 'Iraqi woman' as a shooter, and the way some characters talk about the Iraqi suspects and victims could be interpreted as reflecting racial or ethnic bias, especially when one character assumes the male Iraqi was the shooter when it was actually a woman. Additionally, the episode is set in a military context in Iraq, and the depiction of local Iraqis as shooters or victims, as well as the American soldiers' attitudes toward them, may imply racial or ethnic stereotyping or prejudice. While there are no explicit discussions of racism, the context and some character interactions suggest implicit racial and cultural biases."
GA,14,6,GAS14E06,No,
GA,14,7,GAS14E07,No,
GA,14,8,GAS14E08,No,
GA,14,9,GAS14E09,Yes,"The episode explicitly addresses issues related to racism, racial discrimination, and prejudice through the storyline of Dr. Bello, who is a 'Dreamer' under DACA and faces deportation by ICE. The episode discusses the fear and consequences of being undocumented, the threat of deportation for minor infractions, and the impact of immigration enforcement on individuals who have lived in the U.S. since childhood. It also touches on systemic inequalities and the emotional toll of immigration policies on people of color and immigrants. These themes are central to the episode and clearly imply racial and ethnic prejudice and discrimination."
GA,14,10,GAS14E10,Yes,"The episode explicitly addresses racism, racial prejudice, and systemic bias. A Black 12-year-old boy is shot by police while entering his own home, and characters discuss racial profiling, bias in policing, and the need to give Black children 'the talk' about how to survive encounters with law enforcement. There are direct references to the different treatment of 'white kids versus brown kids,' and a character describes his own experience being stopped and handcuffed by police for 'fitting the description.' The episode explores both explicit and implicit forms of racial discrimination and prejudice."
GA,14,11,GAS14E11,Yes,"There are implicit references to race and the challenges faced by people of color, particularly women of color, in the medical field. For example, Miranda Bailey states, '63% of women who die suddenly from coronary heart disease had no previous symptoms, and women of color are at a far greater risk. So if I were consulting on the patient you describe, I would take into consideration statistics that would never even occur to people who look like you.' This highlights systemic inequalities and the unique risks and biases faced by women of color in healthcare. Additionally, Miranda describes herself as 'a sci-fi-loving African-American woman in her 40s,' and the episode explores how she must fight harder to be taken seriously, which can be read as an implicit reference to racial and gender bias in medicine."
GA,14,12,GAS14E12,Yes,"There are several implicit references to systemic racial inequalities and disparities in this episode. For example, the discussion about the United States having a maternal mortality rate six times higher than Italy's, and the focus on why 'our maternity mortality rate' is so high, is a reference to a real-world issue that disproportionately affects Black women and women of color in the U.S. The episode also features diverse characters (e.g., Kimmie Park, a young Asian girl) and touches on issues of bias and representation in medicine (e.g., the gender-affirming surgery storyline and mention of cisgender privilege). While there are no explicit mentions of racism or racial slurs, the systemic inequalities and disparities in healthcare outcomes, especially around maternal mortality, are well-known to be linked to racial bias and discrimination. Therefore, the topic is implied."
GA,14,13,GAS14E13,No,
GA,14,14,GAS14E14,No,
GA,14,15,GAS14E15,No,
GA,14,16,GAS14E16,No,
GA,14,17,GAS14E17,No,
GA,14,18,GAS14E18,No,
GA,14,20,GAS14E20,Yes,"The episode contains an extensive storyline about Dr. Harper Avery, a prominent figure, having sexually harassed multiple women and then using his power and money to silence them and bar them from working at his hospitals or winning his foundation's awards. While the primary focus is on sexual harassment and abuse of power, there are also references to systemic discrimination, as the women were not only harassed but also had their careers crippled due to their gender and the actions of a powerful white male in medicine. The dialogue about how these women were treated, silenced, and excluded from opportunities at Harper Avery hospitals and awards implies systemic bias and discrimination. Additionally, there are references to a foster care experience, but no explicit or implicit racial prejudice is described in that context. However, due to the clear presence of systemic discrimination and the intersectionality of gender and power (and possible race, given the context of medicine), the answer is Yes."
GA,14,21,GAS14E21,Yes,"There is an explicit reference to race and systemic inequality when Jackson says, 'There's no way a powerful black woman is gonna take the fall for a rich old white guy that couldn't keep his damn hands to himself.' This directly addresses racial dynamics and the injustice of a Black woman being scapegoated for the actions of a white man. Additionally, the episode discusses issues of systemic discrimination, power imbalances, and the impact of institutional abuse, which are often intertwined with issues of race and gender in professional settings."
GA,15,1,GAS15E01,No,
GA,15,2,GAS15E02,No,
GA,15,3,GAS15E03,No,
GA,15,4,GAS15E04,Yes,"There is an explicit mention of racism and racial prejudice in the dialogue about dating, where a character says: 'Date's going great, right? She's smart, you're funny, you're, you're hitting it off. And then she says the One Thing, right, the one, uh, slightly racist thing.' This directly references experiences of racial prejudice in social interactions. There are no other explicit or implicit references to racism, racial discrimination, or racial prejudice elsewhere in the subtitles."
GA,15,6,GAS15E06,No,
GA,15,7,GAS15E07,Yes,"There is an explicit reference to racism when Catherine says: 'I have survived racism, sexism, every ""ism"" designed to make me feel small or make me less.' This directly mentions her experience with racism and discrimination. Additionally, the episode features characters of diverse backgrounds, but this explicit mention confirms the presence of the topic."
GA,15,8,GAS15E08,No,
GA,15,9,GAS15E09,No,
GA,15,10,GAS15E10,No,
GA,15,11,GAS15E11,No,
GA,15,12,GAS15E12,No,
GA,15,13,GAS15E13,No,
GA,15,14,GAS15E14,No,
GA,15,15,GAS15E15,Yes,"There is an explicit reference to racial prejudice when Richard Webber tells Maggie Pierce, 'Did you know that I was the only black resident in my class? So I was bullied, too. Residents would take my number off the pager service... So I'd miss traumas. Some of the attendings would call the other residents 'Dr.' But I only got 'Webber.'' This dialogue directly addresses experiences of racial discrimination and prejudice in the medical profession."
GA,15,16,GAS15E16,No,
GA,15,17,GAS15E17,No,
GA,15,18,GAS15E18,No,
GA,15,19,GAS15E19,No,
GA,15,20,GAS15E20,No,
GA,15,21,GAS15E21,No,
GA,15,22,GAS15E22,No,
GA,15,23,GAS15E23,Yes,"The subtitles include an explicit discussion of a family detained and separated at the U.S. border, with references to being 'caged like animals.' The storyline addresses the difficulties faced by immigrants seeking asylum, systemic barriers to healthcare (such as being denied insurance due to income despite low-wage work), and the threat of deportation. There is also mention of how seeking asylum can result in children being jailed with their parents, contrasting with the treatment of citizens. These elements directly and implicitly address issues of racial discrimination, systemic inequality, and prejudice based on ethnicity and immigration status."
GA,15,24,GAS15E24,No,
GA,15,25,GAS15E25,Yes,"There is an implicit reference to racial privilege and systemic inequality in the conversation between Maggie and Jackson. Maggie points out that Jackson missed out on 'the opportunity to learn consequences due to your privilege,' and contrasts her own experiences with financial aid, student loans, and worrying about affording college with Jackson's privileged background. This discussion of privilege, financial hardship, and the differences in their life experiences is an implicit reference to issues of race and systemic inequality, especially given that Maggie and Jackson are both Black characters and Jackson is also wealthy. While the episode does not explicitly mention racism or racial discrimination, the conversation implies awareness of racial and socioeconomic disparities."
GA,16,1,GAS16E01,No,
GA,16,2,GAS16E02,No,
GA,16,3,GAS16E03,No,
GA,16,4,GAS16E04,Yes,"There is an explicit reference to 'institutionalized discrimination' in the context of the healthcare system, which suggests systemic inequalities that can include racial discrimination. Additionally, the episode discusses issues like disparities in healthcare access ('the rich live 10 to 15 years longer than the poor'), which often have racial dimensions in the U.S. While there are no explicit racial slurs or direct discussions of race, the mention of institutionalized discrimination and systemic issues in healthcare implies the presence of racial prejudice or racism."
GA,16,5,GAS16E05,No,
GA,16,6,GAS16E06,No,
GA,16,7,GAS16E07,No,
GA,16,8,GAS16E08,No,
GA,16,9,GAS16E09,No,
GA,16,10,GAS16E10,No,
GA,16,11,GAS16E11,No,
GA,16,12,GAS16E12,No,
GA,16,13,GAS16E13,No,
GA,16,14,GAS16E14,No,
GA,16,15,GAS16E15,No,
GA,16,16,GAS16E16,No,
GA,16,17,GAS16E17,No,
GA,16,18,GAS16E18,No,
GA,16,19,GAS16E19,No,
GA,16,20,GAS16E20,No,
GA,16,21,GAS16E21,No,
GA,17,1,GAS17E01,Yes,"There are both explicit and implicit references to racism and racial disparities in the subtitles. Explicitly, a character says, 'I tried explaining to my grandma how this is impacting Black folks more severely,' which references the disproportionate impact of COVID-19 on Black communities—a systemic racial inequality. Additionally, a patient says, 'I don't want a Chinese doctor,' which is an explicit example of racial prejudice and discrimination. These examples confirm that issues of racism, racial discrimination, or racial prejudice are present in the episode."
GA,17,2,GAS17E02,Yes,"There is an explicit reference to racial disparities in healthcare when Catherine and Maggie discuss that 'too many of them are black and brown, and not enough people seem to care.' This statement directly addresses systemic racial inequalities and the disproportionate impact on patients of color. Additionally, the conversation acknowledges frustration with the lack of access to healthcare, which is often tied to systemic racism. These references indicate that the topic of racism and racial discrimination is present in the episode."
GA,17,3,GAS17E03,Yes,"There is an explicit mention of racial disparities in COVID-19 outcomes: one character says, '53 people. That's how many have died on my watch since this thing started. 53. And most of them have been Black women, so that means... The same thing's happening here. Everywhere.' This directly references systemic racial inequalities in healthcare and the disproportionate impact of the pandemic on Black women, which is a clear reference to racial discrimination and systemic racism."
GA,17,4,GAS17E04,Yes,"There are both explicit and implicit references to racism and racial bias in these subtitles. Explicitly, there is a scene where a character, Dr. Kim, is asked 'Where are you from?' by a patient, and another character points out that the question is about his ethnicity, not his medical specialty, highlighting a common microaggression faced by Asian-Americans. Later, there is a discussion about a misdiagnosis involving an Asian-American patient, where it's pointed out that the standard of care is centered around white patients, and that right-sided diverticulitis is much more common in patients of Asian descent. The conversation addresses the need for equity rather than equality in medicine and acknowledges the presence of biases, including those related to race. There are also references to the Japanese-American internment camps, with characters sharing family histories of being interned during WWII, which is an explicit reference to historical racial discrimination. These elements clearly indicate that the episode addresses racism, racial prejudice, and systemic inequalities."
GA,17,5,GAS17E05,Yes,"The episode contains explicit discussions of racism and systemic racial inequality, particularly in the context of the COVID-19 pandemic. Characters discuss how half of their COVID patients are Black and brown in a city that is only 7% Black, and they talk about how pre-existing conditions are often blamed on individuals rather than acknowledging that these conditions are 'manmade' due to systemic racism. They mention being pushed into frontline jobs, living in overcrowded situations, and being surrounded by environmental hazards, all of which are linked to systemic racism. The phrase 'existing while Black' and the statement 'systemic racism is the root of the whole damn thing' are direct references to racial prejudice and discrimination. Additionally, there are references to microaggressions and prejudice in education, such as guidance counselors suggesting Black students attend less prestigious schools and the reaction of 'very proper' (white) ladies to a Black scholarship recipient. These elements make the presence of racism and racial prejudice both explicit and implicit throughout the episode."
GA,17,6,GAS17E06,Yes,"The episode contains an explicit discussion of systemic racism and racial disparities. Maggie delivers a monologue about how Black girls are more vulnerable to being taken, are seen as less innocent, and are hypersexualized in the media. She also points out that COVID is killing Black people at a much higher rate and that if it were affecting white people at the same rate, there would be a stronger response. These are direct references to racial prejudice, systemic inequality, and the experience of racism. Additionally, there are implicit references to the criminal justice system's treatment of Black women (Jada's mother being arrested during a traumatic event), and the episode highlights the emotional toll of these injustices."
GA,17,7,GAS17E07,No,
GA,17,8,GAS17E08,Yes,"There is an implicit reference to racism in the conversation about escaping to the woods, where a character says, 'Trees are not racist. Trees do not politicize a disease...' This line suggests an awareness of racism and racialized responses to the pandemic in the outside world, even if not directly discussed in detail. Additionally, the episode features characters of diverse backgrounds, but the explicit mention of racism is in that line, indicating the topic is at least acknowledged."
GA,17,9,GAS17E09,No,
GA,17,10,GAS17E10,No,
GA,17,11,GAS17E11,Yes,"There are implicit references to systemic inequalities and racial disparities, particularly in the discussion about hotel rooms for COVID quarantine. Dr. Ortiz mentions that 'the whole system... is not designed to help the people that actually need it. Especially when they look like us.' This suggests an awareness of racial or ethnic disparities in access to healthcare and support, implying racial prejudice or systemic racism. Additionally, the conversation about low-income neighborhoods and access to resources further implies systemic inequalities that often have racial dimensions."
GA,17,12,GAS17E12,Yes,"The episode contains multiple explicit and implicit references to racism, racial discrimination, and racial prejudice. There are scenes involving protests with chants like 'No justice! No peace!' and 'Equality right now!', which are directly associated with anti-racism movements. Characters discuss the dangers of protesting, particularly for Black individuals, and there is a tense scene where a Black character is pulled over by police and subjected to an extended search, highlighting racial profiling and the fear associated with police encounters. There are also discussions about systemic racism in medicine, such as the Black maternal mortality rate and racial bias in medical training. The episode references historical civil rights protests, including the March on Washington and the fight against apartheid, and characters reflect on the scars—literal and metaphorical—of fighting for racial equality. All these elements indicate that the topic of racism and racial prejudice is both mentioned and implied throughout the episode."
GA,17,13,GAS17E13,Yes,"There are several implicit and explicit references to race and the experiences of Black women. For example, a character says, 'It's something that we're taught as women, as Black women. And I'm guilty of it.' This line explicitly references the unique pressures faced by Black women, which can be tied to systemic inequalities and societal expectations rooted in racial and gender bias. Additionally, there are mentions of protests and teachers being 'scared to say anything' when discussing them, which, given the context of 2021 and the mention of protests, likely alludes to racial justice protests (e.g., Black Lives Matter). These elements suggest that issues of race, racism, and racial prejudice are present in the episode."
GA,17,14,GAS17E14,Yes,"There are explicit references to racism, racial discrimination, and systemic racial inequities in medicine. For example, Jackson says, 'You know how many people of color we've already lost since the pandemic started? The system keeps diminishing and erasing us. T-They're literally letting people just die in the streets, and we can do something about it.' He also states, 'White supremacy is woven into the fabric of this country, and that means medicine, too. People that look like us should not have to be gaslit, shamed, and ignored when they're just going to the doctor, constantly having to prove that their lives have any value.' These statements directly address racial prejudice, systemic racism, and the impact of white supremacy on healthcare. The episode also discusses the need for 'real racial equity in medicine' and the desire to 'reallocate every penny that we have to equity in medicine... Women's health, trans health, racial equity.'"
GA,17,15,GAS17E15,Yes,"There are both explicit and implicit references to racism, racial discrimination, and racial prejudice in these subtitles. Explicitly, there is a discussion about Indigenous communities facing disproportionate impacts from COVID, lack of PPE, and less access to healthcare and running water, which points to systemic inequalities. The mention of body bags being sent instead of PPE to tribal clinics is a reference to neglect and systemic racism. There is also a direct line, 'Well, good luck finding any racism,' which, though sarcastic, references the existence of racism. Additionally, a character reflects on being the only white man to survive a COVID ward and acknowledges injustice caused by 'people who look like me,' expressing a desire to be an ally and address systemic racism. The episode also highlights microaggressions and the challenges faced by Indigenous patients in big hospitals, further implying racial bias and discrimination."
GA,17,16,GAS17E16,Yes,"There are explicit references to racism and racial inequity. For example, a character mentions that another left to 'fight racial inequity and make the world a better place.' Later, a character says, 'Anyway, I have spent the last few weeks worrying about how to get back to normal, but look where normal got us. Sexism, racism, inequality, substandard care. What has just happened, we should never want to go back to that.' These lines directly mention racism and racial inequality as issues being addressed or discussed in the episode."
GA,17,17,GAS17E17,Yes,"There are implicit references to race and racial experience. For example, in the wedding scene, Maggie's family expresses a desire for a larger, more traditional wedding with extended family, which can be read as referencing cultural expectations and family traditions that may have racial or ethnic significance. More explicitly, in a group therapy scene, a character says, 'my boyfriend, my, um, child's father... he is not one of us. And I am so glad that he does not have to go through life like that. Um, but... sometimes, there's a part of me that wishes he got it. You know, just, uh... really got it. I feel lonely in it.' This strongly implies the speaker is talking about the experience of being a racial minority and the isolation that can come from having a partner who does not share that experience. Additionally, there are references to a character sending money to family in Manila, which, while not directly about racism, highlights the presence of immigrant and ethnic minority characters and their experiences. No explicit racism or slurs are present, but the episode does touch on racial identity and the lived experience of being a minority."
GA,18,1,GAS18E01,No,
GA,18,2,GAS18E02,Yes,"The episode explicitly discusses systemic racial bias in medicine, specifically the use of race-based adjustments in the eGFR formula that disadvantages Black patients seeking kidney transplants. Characters discuss how these medical assumptions and formulas are rooted in racist ideas about Black people's bodies, leading to real-world discrimination and health disparities. The storyline follows a Black patient, Rashida, who is denied a transplant due to this biased formula, and the doctors' efforts to challenge and correct this injustice. This is a clear depiction of racism and racial prejudice, both in individual experiences and systemic structures."
GA,18,3,GAS18E03,No,
GA,18,4,GAS18E04,No,
GA,18,5,GAS18E05,No,
GA,18,6,GAS18E06,Yes,"There is an explicit reference to the colonization and land theft experienced by Native Americans, as discussed by Zola and Meredith ('Thanksgiving isn't really a holiday we should celebrate. There's no actual evidence Native Americans were even invited to a feast. I think they cared more about being colonized and having their land stolen than mashed potatoes.'). This directly addresses historical racism and prejudice against Native Americans. Additionally, there are implicit references to societal inequalities, such as the discussion about women not being given permission to talk about what they want or need, and the struggles of a family dealing with medical bills and lack of support, which can be tied to systemic issues, though not explicitly racial in those cases. The Native American reference is sufficient for a 'Yes' answer."
GA,18,7,GAS18E07,No,
GA,18,8,GAS18E08,No,
GA,18,9,GAS18E09,No,
GA,18,10,GAS18E10,No,
GA,18,11,GAS18E11,Yes,"There is an implicit reference to racial representation and the impact of seeing a doctor who 'looked like him' in a white coat. Dr. Webber recounts a story about a patient who felt comforted seeing a surgeon who shared his racial background, highlighting the significance of racial identity and representation in medicine. This suggests an awareness of racial dynamics and the importance of diversity, which is often rooted in a history of underrepresentation and discrimination."
GA,18,12,GAS18E12,No,
GA,18,13,GAS18E13,No,
GA,18,14,GAS18E14,No,
GA,18,15,GAS18E15,No,
GA,18,16,GAS18E16,No,
GA,18,17,GAS18E17,No,
GA,18,18,GAS18E18,Yes,"There are explicit references to racism and racial prejudice in the subtitles. A character named Alice Tom is assaulted at a bus stop, and it is stated that the attacker was 'using racial slurs and yelling at her to go back to where she's from.' The attack is described as a hate crime. Later, there is a conversation about the experience of being seen as foreign in America, referencing historical events such as the Japanese American internment and the Watsonville Riots, as well as being wrongly blamed for COVID. These are clear and direct discussions and depictions of racism and racial prejudice."
GA,18,19,GAS18E19,Yes,"There is an explicit reference to prejudice and discrimination based on sexual orientation in the blood donation scene. A character is excluded from donating blood due to being a sexually active gay man, and this is discussed as 'prejudice' and 'disgusting.' While this is not racial prejudice, it is a form of discrimination based on identity. Additionally, there are references to a character being 'the Spanish woman,' but this is not developed into a clear instance of racial bias. Since the instructions say to include all forms of prejudice based on race or ethnicity and to answer 'Yes' if there is any doubt, and since the episode contains explicit discussion of systemic discrimination (albeit not racial), the answer is Yes."
GA,18,20,GAS18E20,No,
GA,19,1,GAS19E01,Yes,"There is an explicit reference to racism and racial disparities when Dr. Jules Millin recognizes Dr. Pierce for her article about 'racial disparities in outcomes after bypass surgery.' This indicates that the topic of racial inequality in healthcare is directly mentioned in the episode. No other explicit or implicit references to racism, racial discrimination, or prejudice are present in the provided subtitles."
GA,19,2,GAS19E02,No,
GA,19,3,GAS19E03,No,
GA,19,4,GAS19E04,Yes,"There is an explicit discussion of racial discrimination and prejudice when Dr. Griffith describes her experiences in a previous residency program. She mentions being dismissed after raising concerns about the treatment of a Black patient, being called 'aggressive' and 'angry,' being denied opportunities, and enduring hostile comments about patients of color. These are clear references to racial bias and discrimination within the medical profession."
GA,19,5,GAS19E05,No,
GA,19,6,GAS19E06,No,
GA,19,7,GAS19E07,No,
GA,19,8,GAS19E08,No,
GA,19,9,GAS19E09,No,
GA,19,10,GAS19E10,No,
GA,19,11,GAS19E11,No,
GA,19,12,GAS19E12,No,
GA,19,13,GAS19E13,No,
GA,19,14,GAS19E14,No,
GA,19,15,GAS19E15,Yes,"There is an explicit reference to racial identity and workplace dynamics when a character says, 'Being the only woman and the token Black girl, I can't have leakage.' This acknowledges her experience as a Black woman in a predominantly non-Black environment, implying the pressures and potential biases she faces. The use of 'token' directly references racial representation and the challenges of being a minority in a professional setting, which relates to racial prejudice and systemic inequality."
GA,19,16,GAS19E16,No,
GA,19,17,GAS19E17,No,
GA,19,18,GAS19E18,Yes,"There is an explicit reference to race and racial representation when a character says, 'Very few Black men have been nominated for this award... So I'll be there.' This directly acknowledges the underrepresentation of Black men in receiving the Catherine Fox Award, which implies awareness of racial disparities and systemic inequalities in recognition within the medical field."
GA,19,20,GAS19E20,No,
GA,20,1,GAS20E01,No,
GA,20,2,GAS20E02,No,
GA,20,3,GAS20E03,No,
GA,20,4,GAS20E04,No,
GA,20,5,GAS20E05,No,
GA,20,6,GAS20E06,Yes,"There are implicit references to systemic inequalities and neglect that can be tied to racial or ethnic disparities. For example, the episode discusses how zip codes are a key determinant of longevity, which often reflects racial and socioeconomic segregation and its impact on health outcomes. Additionally, the storyline involving the incarcerated patient, Mr. Jiménez, highlights neglect and lack of adequate healthcare in the prison system, which disproportionately affects people of color due to systemic racism. The mention that his punishment 'was supposed to be time, not death,' and that he was ignored when he got sick, further implies systemic inequities. While there are no explicit discussions of race or racial slurs, these elements suggest the presence of racial prejudice and systemic discrimination."
GA,20,7,GAS20E07,Yes,"There are implicit references to racial disparities in maternal health outcomes, particularly with the storyline of Lauren's preeclampsia and her husband's fear that 'Lauren was not gonna be another statistic.' The phrase 'another statistic' in the context of a Black family (as suggested by the names and casting in the likely show this is from) alludes to the well-documented higher rates of maternal mortality and complications among Black women in the US, often due to systemic racism and bias in healthcare. Additionally, Simone's reflection that her mother died in childbirth at the same hospital, and her concern that 'someone missed something,' further implies the ongoing issue of Black women not being listened to or adequately cared for in medical settings. These are implicit but clear references to racial prejudice and systemic inequality."
GA,20,8,GAS20E08,Yes,"There are implicit references to racial prejudice and microaggressions. For example, one character mentions 'awkward stares and the microaggressions' and describes families feeling so unsafe in Texas that they consider putting a bulletproof vest on their trans son to see a doctor, indicating a hostile environment for marginalized groups. While this is primarily about transphobia, the mention of microaggressions and hostile environments in the context of marginalized identities can also be linked to racial prejudice, as the term 'microaggressions' is frequently associated with both racial and other forms of bias. Additionally, the episode includes diverse character names and some subtle references to bias in professional settings, though not overtly racial. Given the instruction to answer 'Yes' if there is any doubt, the presence of microaggressions and discussion of prejudice against marginalized groups is sufficient."
GA,20,9,GAS20E09,No,
GA,20,10,GAS20E10,No,
GA,21,3,GAS21E03,No,
GA,21,4,GAS21E04,No,
GA,21,5,GAS21E05,Yes,"The episode contains several implicit and explicit references to racial discrimination and systemic inequalities. The storyline involving Zayne Johnson, a Black hospital worker with sickle cell disease, highlights issues of healthcare inequity: he cannot access a new gene therapy cure because his insurance won't cover it and the treatment is prohibitively expensive. The dialogue references the systemic barriers faced by people with sickle cell (a disease that disproportionately affects Black people), including stigmas, misunderstandings, and being seen as 'a code or a cost' by the system. Characters discuss how the system 'doesn't care if you suffer or even if you live or die,' and that seeking treatment with sickle cell is 'a minefield of stigmas and misunderstandings.' These are clear references to systemic racial inequities and prejudice in healthcare."
GA,21,6,GAS21E06,No,
GA,21,7,GAS21E07,No,
GA,21,8,GAS21E08,No,
H,1,1,HS01E01,Yes,"There are both explicit and implicit references to race and racial prejudice in the subtitles. Explicitly, there is a conversation where Dr. Foreman, a Black doctor, discusses his juvenile record and the implications of being hired because of it. He references 'centuries of slavery, decades of civil rights marches,' and questions whether it's 'kind of disgusting' that he gets a top job because of his delinquency, which is a clear allusion to racial history and prejudice. Later, House says, 'You hired a black guy because he had a juvenile record. No. It wasn't a racial thing. I didn't see a black guy. I just saw a doctor with a juvenile record.' This exchange directly addresses issues of race, hiring biases, and the perception of racial discrimination. There are also implicit references to systemic inequalities, such as the discussion about low-wage workers needing to work while sick, which can be tied to broader social and racial disparities."
H,1,2,HS01E02,No,
H,1,3,HS01E03,No,
H,1,4,HS01E04,No,
H,1,5,HS01E05,No,
H,1,6,HS01E06,No,
H,1,7,HS01E07,Yes,"There is an implicit reference to race in the line: 'Well, that rules out the race thing. 'Cause you were just as black last week.' This exchange acknowledges the character's Black identity and references the possibility of racial factors affecting the situation, even if only to dismiss it. This constitutes an implicit mention of race and potential racial prejudice or discrimination, satisfying the criteria for a 'Yes' answer."
H,1,8,HS01E08,Yes,"There are two notable implicit references to race and racial prejudice. First, a character says 'This is gonna be a racial thing, isn't it?' when discussing why another character is assumed to be a drug user, suggesting awareness of racial stereotyping or bias. Second, when identifying the poisoned students on the bus, one is referred to as 'the Asian kid,' which is a reduction of identity to race and could be seen as a microaggression or stereotype. These moments indicate the presence of racial topics, even if not the main focus of the episode."
H,1,9,HS01E09,No,
H,1,10,HS01E10,No,
H,1,11,HS01E11,No,
H,1,12,HS01E12,No,
H,1,13,HS01E13,No,
H,1,14,HS01E14,No,
H,1,15,HS01E15,Yes,"There are implicit references to prejudice and discrimination related to sexuality, which are often intertwined with issues of masculinity and, in some contexts, racial or ethnic stereotypes (e.g., the mobster's fear of being perceived as gay, the overreaction to rumors about being a 'homo,' and the concern about reputation in prison and in the mob). Additionally, there are mentions of 'sensitivity training' and staff making inappropriate comments about the patient being a 'crackhead or a homo,' which suggests a workplace culture that may also be insensitive to other forms of prejudice, including racial prejudice. While there are no explicit mentions of racism or racial discrimination, the presence of microaggressions, stereotypes, and discussions about prejudice (even if centered on sexuality) indicate that the episode touches on themes of bias and discrimination. If there is any doubt, the answer should be 'Yes.'"
H,1,16,HS01E16,No,
H,1,17,HS01E17,Yes,"The topic of racism and racial prejudice is explicitly mentioned and discussed multiple times in the subtitles. The senator refers to being told he doesn't have a chance because he's black and doesn't 'have the right nose.' There are references to the challenges of being a black politician, such as not being given the benefit of the doubt, not being cut a second chance, and the pressure of being a role model for the race. There's also a pointed remark about the White House not being called that 'because of the paint job,' which is an implicit reference to racial exclusion. These elements clearly indicate the presence of discussions about racism and racial prejudice."
H,1,18,HS01E18,No,
H,1,19,HS01E19,Yes,"There is an implicit reference to racial stereotyping and prejudice in the scene where House interviews a candidate with a tattoo of an Asian letter. House sarcastically mocks the candidate's 'nonconformity' and makes a stereotypical comment about 'Asian kids who don't leave the library for 20-hour stretches,' implying a racial stereotype about Asian students and academic pressure. Additionally, the conversation about reviewing résumés for 'Asian names' further suggests racial bias in hiring practices. These instances indicate the presence of racial prejudice and stereotyping, even if presented in a satirical or critical manner."
H,1,20,HS01E20,No,
H,1,21,HS01E21,No,
H,1,22,HS01E22,Yes,"There are implicit references to racism and racial prejudice in the subtitles. For example, House refers to Dr. Foreman as 'Dr. Mandingo' and tells him to go ask the wife if she's been 'messin' around,' and later says, 'Dr. Mandingo, you're needed at the plantation house.' These are racially charged references: 'Mandingo' is a term historically associated with racist stereotypes of Black men, and 'plantation house' evokes imagery of slavery in the American South. These comments are played as jokes but are rooted in racial stereotypes and microaggressions. Additionally, there is a line where Foreman jokes about being tired from 'stealing cars,' referencing a stereotype about Black people and crime. These examples indicate the presence of racial prejudice and microaggressions, even if not the main theme of the episode."
H,2,1,HS02E01,Yes,"There are explicit references to racism and racial prejudice in the subtitles. For example, there is a discussion about the racial disparity in death penalty sentencing ('Black defendants are 10 times more likely to get a death sentence than whites'), and jokes about being kept down by 'The Man.' There are also implicit references, such as characters discussing their backgrounds, being judged for being 'black' or from the 'inner city,' and exchanges about stereotypes and assumptions based on race (e.g., 'How a brother like you go from gang banging to wearing that white coat?'). These elements indicate the presence of both explicit and implicit references to racism and racial prejudice."
H,2,2,HS02E02,No,
